Paper	Intervention	Outcome	Efficacy	eNNT	GRADE	AMSTAR	k	Design	Age	BD_stage	Comparison	Comparison_type	TE	seTE	Rank	Meta_review	invTE	TE_lo	TE_up	Intervention_acro	Comparison_acro	Outcome_acro
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	lamotrigine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.03 [-0.12, 0.18] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=59.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	0.03	0.08	III (Low)	Bahji A., 2020 (NMA)	-0.03	-0.12	0.18	lam	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	gabapentin	Discontinuation, due to any cause (Acceptability)	"eSMD=0.02 [-1.33, 1.39] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=88.63	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	0.02	0.69	III (Low)	Bahji A., 2020 (NMA)	-0.02	-1.33	1.39	gaba	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	paroxetine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.03 [-0.32, 0.27] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=59.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	-0.03	0.15	III (Low)	Bahji A., 2020 (NMA)	0.03	-0.32	0.27	par	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	cariprazine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.08 [-0.31, 0.15] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=22.17	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	-0.08	0.12	III (Low)	Bahji A., 2020 (NMA)	0.08	-0.31	0.15	car	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	lurasidone	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.08 [-0.34, 0.19] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=22.17	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	-0.08	0.14	III (Low)	Bahji A., 2020 (NMA)	0.08	-0.34	0.19	lur	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	phenelzine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.24 [-1.39, 0.92] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=7.42	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	-0.24	0.59	III (Low)	Bahji A., 2020 (NMA)	0.24	-1.39	0.92	phen	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	aripiprazole	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.28 [-0.51, -0.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=6.37	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo	mono	-0.28	0.11	II (Moderate)	Bahji A., 2020 (NMA)	0.28	-0.51	-0.06	ari	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	lithium	Discontinuation, due to any cause (Acceptability)	"eSMD=-1.55 [-2.16, -1.05] <br> <img src=""https://www.linkpicture.com/q/Diapositive1.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=1.38	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	venlafaxine	mono	-1.55	0.28	I (High)	Bahji A., 2020 (NMA)	1.55	-2.16	-1.05	lit	ven	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	imipramine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.92 [-1.77, -0.14] <br> <img src=""https://www.linkpicture.com/q/Diapositive1.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=2.06	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	tranylcypromine	mono	-0.92	0.42	I (High)	Bahji A., 2020 (NMA)	0.92	-1.77	-0.14	imp	tran	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	olanzapine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.34 [-0.66, -0.01] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=5.26	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	olanzapine+fluoxetine	combo	-0.34	0.17	II (Moderate)	Bahji A., 2020 (NMA)	0.34	-0.66	-0.01	ola	ola+fluo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	lithium	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.28 [-0.79, 0.2] <br> <img src=""https://www.linkpicture.com/q/Diapositive7.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=6.37	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	sertraline	mono	-0.28	0.25	III (Low)	Bahji A., 2020 (NMA)	0.28	-0.79	0.2	lit	sert	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	paroxetine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.16 [-0.47, 0.15] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=11.1	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	quetiapine	mono	-0.16	0.16	III (Low)	Bahji A., 2020 (NMA)	0.16	-0.47	0.15	par	que	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	imipramine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.07 [-1.65, 1.55] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=25.33	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	moclobemide	mono	-0.07	0.82	III (Low)	Bahji A., 2020 (NMA)	0.07	-1.65	1.55	imp	moc	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	fluoxetine	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.07 [-1.77, 1.55] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=25.33	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	olanzapine	mono	-0.07	0.85	III (Low)	Bahji A., 2020 (NMA)	0.07	-1.77	1.55	fluo	ola	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	lithium	Discontinuation, due to any cause (Acceptability)	"eSMD=-0.01 [-0.32, 0.31] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=177.25	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	quetiapine	mono	-0.01	0.16	III (Low)	Bahji A., 2020 (NMA)	0.01	-0.32	0.31	lit	que	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	fluoxetine	Discontinuation, due to any cause (Acceptability)	"eSMD=0 [-1.65, 1.65] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=Inf	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	olanzapine+fluoxetine	combo	0	0.84	III (Low)	Bahji A., 2020 (NMA)	0	-1.65	1.65	fluo	ola+fluo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	gabapentin	Discontinuation, due to any cause (Acceptability)	"eSMD=0 [-1.55, 1.55] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=Inf	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	lamotrigine	mono	0	0.79	III (Low)	Bahji A., 2020 (NMA)	0	-1.55	1.55	gaba	lam	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	lamotrigine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.06 [-0.25, 0.37] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=29.55	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	olanzapine+fluoxetine	combo	0.06	0.16	III (Low)	Bahji A., 2020 (NMA)	-0.06	-0.25	0.37	lam	ola+fluo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	fluoxetine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.22 [-0.37, 0.81] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	imipramine	mono	0.22	0.3	III (Low)	Bahji A., 2020 (NMA)	-0.22	-0.37	0.81	fluo	imp	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2020 (NMA)</a>"	imipramine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.36 [-1.01, 1.77] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.98	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	phenelzine	mono	0.36	0.71	III (Low)	Bahji A., 2020 (NMA)	-0.36	-1.01	1.77	imp	phen	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	n-acetyl cysteine+acetylsalicylic acid	Discontinuation, due to any cause (Acceptability)	"eSMD=0.74 [-0.33, 1.77] <br> <img src=""https://www.linkpicture.com/q/Diapositive19.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=2.5	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.74	0.54	II (Moderate)	Bahji A., 2021 (NMA)	-0.74	-0.33	1.77	nac+asa	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	citalopram	Discontinuation, due to any cause (Acceptability)	"eSMD=0.48 [-0.24, 1.22] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.76	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.48	0.37	II (Moderate)	Bahji A., 2021 (NMA)	-0.48	-0.24	1.22	cit	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	lisdexamfetamine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.48 [-0.7, 1.65] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.76	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.48	0.6	II (Moderate)	Bahji A., 2021 (NMA)	-0.48	-0.7	1.65	lisdex	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	pramipexole	Discontinuation, due to any cause (Acceptability)	"eSMD=0.35 [-0.35, 1.08] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=5.12	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.35	0.36	II (Moderate)	Bahji A., 2021 (NMA)	-0.35	-0.35	1.08	pram	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	paroxetine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.27 [-0.12, 0.66] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=6.6	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.27	0.2	II (Moderate)	Bahji A., 2021 (NMA)	-0.27	-0.12	0.66	par	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	celecoxib	Discontinuation, due to any cause (Acceptability)	"eSMD=0.25 [-0.16, 0.66] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=7.13	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.25	0.21	II (Moderate)	Bahji A., 2021 (NMA)	-0.25	-0.16	0.66	cel	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	inositol	Discontinuation, due to any cause (Acceptability)	"eSMD=0.25 [-0.7, 1.17] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=7.13	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.25	0.48	II (Moderate)	Bahji A., 2021 (NMA)	-0.25	-0.7	1.17	ino	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	aripiprazole	Discontinuation, due to any cause (Acceptability)	"eSMD=0.17 [-0.7, 1.05] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=10.45	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.17	0.45	II (Moderate)	Bahji A., 2021 (NMA)	-0.17	-0.7	1.05	ari	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	t4 hormone	Discontinuation, due to any cause (Acceptability)	"eSMD=0.17 [-0.35, 0.7] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=10.45	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.17	0.27	II (Moderate)	Bahji A., 2021 (NMA)	-0.17	-0.35	0.7	t4	pbo	Acceptability
"<a href='https://doi.org/' target=""_blank"">Bahji A., 2021 (NMA)</a>"	quetiapine	Discontinuation, due to any cause (Acceptability)	"eSMD=0.16 [-0.04, 0.35] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=11.1	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	70	Network meta-analysis	Adults	Bipolar Depression	placebo	aug	0.16	0.1	II (Moderate)	Bahji A., 2021 (NMA)	-0.16	-0.04	0.35	que	pbo	Acceptability
